23:14:50.977 > Calibrating baro...

23:14:53.938 > Calibration done!

23:14:53.939 > Calibrating sensors

23:14:53.939 > Couldn't open log file

23:14:53.939 > Couldn't open log file

23:14:53.939 > Starting Sensor Calibration...

23:14:53.940 > 

23:14:53.940 > Internal calibration complete!

23:14:53.940 > Starting external gyroscope offset calibration...

23:14:56.900 > Couldn't open log file

23:14:59.864 > Sensors calibrated

23:14:59.864 > Couldn't open log file

23:14:59.864 > Using default angles

23:14:59.864 > Couldn't open log file

23:14:59.864 > rpy init: 0.00, 0.00, 0.00

23:14:59.866 > Couldn't open log file

23:15:05.369 > >alt:-0.051,vel:-0.216,accelAlt:-0.050,accelVel:-0.214,baroAlt:-0.074,deviation:-0.024;

23:15:05.375 > >alt:-0.062,vel:-0.238,accelAlt:-0.052,accelVel:-0.217,baroAlt:-0.264,deviation:-0.212;

23:15:05.380 > >alt:-0.074,vel:-0.259,accelAlt:-0.064,accelVel:-0.239,baroAlt:-0.264,deviation:-0.200;

23:15:05.385 > >alt:-0.085,vel:-0.279,accelAlt:-0.075,accelVel:-0.260,baroAlt:-0.264,deviation:-0.189;

23:15:05.388 > >alt:-0.064,vel:-0.235,accelAlt:-0.086,accelVel:-0.280,baroAlt:0.357,deviation:0.443;

23:15:05.388 > >alt:-0.044,vel:-0.194,accelAlt:-0.066,accelVel:-0.236,baroAlt:0.357,deviation:0.422;

23:15:05.402 > >alt:-0.033,vel:-0.170,accelAlt:-0.045,accelVel:-0.195,baroAlt:0.209,deviation:0.254;

23:15:05.408 > >alt:-0.022,vel:-0.147,accelAlt:-0.034,accelVel:-0.171,baroAlt:0.209,deviation:0.243;

23:15:05.408 > >alt:-0.018,vel:-0.138,accelAlt:-0.022,accelVel:-0.147,baroAlt:0.069,deviation:0.091;

23:15:05.420 > >alt:-0.014,vel:-0.130,accelAlt:-0.019,accelVel:-0.139,baroAlt:0.069,deviation:0.088;

23:15:05.425 > >alt:-0.011,vel:-0.123,accelAlt:-0.015,accelVel:-0.131,baroAlt:0.069,deviation:0.084;

23:15:05.431 > >alt:-0.011,vel:-0.122,accelAlt:-0.012,accelVel:-0.124,baroAlt:0.005,deviation:0.017;

23:15:05.436 > >alt:-0.011,vel:-0.121,accelAlt:-0.012,accelVel:-0.123,baroAlt:0.005,deviation:0.017;

23:15:05.443 > >alt:-0.025,vel:-0.150,accelAlt:-0.011,accelVel:-0.122,baroAlt:-0.285,deviation:-0.274;

23:15:05.446 > >alt:-0.039,vel:-0.177,accelAlt:-0.026,accelVel:-0.151,baroAlt:-0.285,deviation:-0.259;

23:15:05.454 > >alt:-0.026,vel:-0.149,accelAlt:-0.040,accelVel:-0.177,baroAlt:0.240,deviation:0.280;

23:15:05.459 > >alt:-0.013,vel:-0.124,accelAlt:-0.027,accelVel:-0.151,baroAlt:0.240,deviation:0.267;

23:15:05.462 > >alt:-0.001,vel:-0.099,accelAlt:-0.014,accelVel:-0.125,baroAlt:0.240,deviation:0.255;

23:15:05.471 > >alt:0.003,vel:-0.090,accelAlt:-0.002,accelVel:-0.100,baroAlt:0.095,deviation:0.097;

23:15:05.471 > >alt:0.007,vel:-0.082,accelAlt:0.002,accelVel:-0.091,baroAlt:0.095,deviation:0.093;

23:15:05.482 > >alt:0.006,vel:-0.084,accelAlt:0.007,accelVel:-0.083,baroAlt:-0.011,deviation:-0.017;

23:15:05.486 > >alt:0.004,vel:-0.087,accelAlt:0.005,accelVel:-0.086,baroAlt:-0.011,deviation:-0.016;

23:15:05.492 > >alt:0.003,vel:-0.089,accelAlt:0.004,accelVel:-0.088,baroAlt:-0.011,deviation:-0.014;

23:15:05.495 > >alt:-0.002,vel:-0.099,accelAlt:0.003,accelVel:-0.090,baroAlt:-0.085,deviation:-0.087;

23:15:05.504 > >alt:-0.006,vel:-0.108,accelAlt:-0.002,accelVel:-0.100,baroAlt:-0.085,deviation:-0.082;

23:15:05.509 > >alt:-0.009,vel:-0.114,accelAlt:-0.007,accelVel:-0.109,baroAlt:-0.053,deviation:-0.046;

23:15:05.516 > >alt:-0.012,vel:-0.119,accelAlt:-0.010,accelVel:-0.115,baroAlt:-0.053,deviation:-0.043;

23:15:05.520 > >alt:-0.007,vel:-0.108,accelAlt:-0.013,accelVel:-0.120,baroAlt:0.103,deviation:0.116;

23:15:05.527 > >alt:-0.002,vel:-0.098,accelAlt:-0.008,accelVel:-0.109,baroAlt:0.103,deviation:0.111;

23:15:05.530 > >alt:0.003,vel:-0.089,accelAlt:-0.003,accelVel:-0.099,baroAlt:0.103,deviation:0.106;

23:15:05.538 > >alt:0.005,vel:-0.083,accelAlt:0.002,accelVel:-0.089,baroAlt:0.069,deviation:0.067;

23:15:05.543 > >alt:0.008,vel:-0.077,accelAlt:0.005,accelVel:-0.084,baroAlt:0.069,deviation:0.064;

23:15:05.550 > >alt:-0.005,vel:-0.103,accelAlt:0.008,accelVel:-0.078,baroAlt:-0.243,deviation:-0.251;

23:15:05.553 > >alt:-0.017,vel:-0.128,accelAlt:-0.006,accelVel:-0.104,baroAlt:-0.243,deviation:-0.238;

23:15:05.562 > >alt:-0.018,vel:-0.128,accelAlt:-0.018,accelVel:-0.129,baroAlt:-0.011,deviation:0.007;

23:15:05.562 > >alt:-0.018,vel:-0.128,accelAlt:-0.019,accelVel:-0.129,baroAlt:-0.011,deviation:0.008;

23:15:05.572 > >alt:-0.018,vel:-0.128,accelAlt:-0.019,accelVel:-0.129,baroAlt:-0.011,deviation:0.008;

23:15:05.576 > >alt:-0.009,vel:-0.110,accelAlt:-0.019,accelVel:-0.129,baroAlt:0.174,deviation:0.193;

23:15:05.583 > >alt:-0.001,vel:-0.093,accelAlt:-0.010,accelVel:-0.111,baroAlt:0.174,deviation:0.184;

23:15:05.587 > >alt:0.008,vel:-0.076,accelAlt:-0.001,accelVel:-0.093,baroAlt:0.177,deviation:0.178;

23:15:05.595 > >alt:0.016,vel:-0.060,accelAlt:0.007,accelVel:-0.077,baroAlt:0.177,deviation:0.170;

23:15:05.600 > >alt:0.016,vel:-0.058,accelAlt:0.015,accelVel:-0.060,baroAlt:0.037,deviation:0.022;

23:15:05.606 > >alt:0.017,vel:-0.057,accelAlt:0.016,accelVel:-0.059,baroAlt:0.037,deviation:0.021;

23:15:05.609 > >alt:0.018,vel:-0.056,accelAlt:0.017,accelVel:-0.058,baroAlt:0.037,deviation:0.020;

23:15:05.617 > >alt:0.019,vel:-0.054,accelAlt:0.017,accelVel:-0.057,baroAlt:0.050,deviation:0.033;

23:15:05.620 > >alt:0.020,vel:-0.052,accelAlt:0.019,accelVel:-0.055,baroAlt:0.050,deviation:0.031;

23:15:05.620 > >alt:0.018,vel:-0.056,accelAlt:0.020,accelVel:-0.053,baroAlt:-0.016,deviation:-0.036;

23:15:05.634 > >alt:0.016,vel:-0.061,accelAlt:0.018,accelVel:-0.057,baroAlt:-0.016,deviation:-0.034;

23:15:05.639 > >alt:0.014,vel:-0.065,accelAlt:0.016,accelVel:-0.062,baroAlt:-0.016,deviation:-0.032;

23:15:05.645 > >alt:0.016,vel:-0.061,accelAlt:0.014,accelVel:-0.066,baroAlt:0.061,deviation:0.047;

23:15:05.650 > >alt:0.018,vel:-0.058,accelAlt:0.016,accelVel:-0.062,baroAlt:0.061,deviation:0.045;

23:15:05.657 > >alt:0.022,vel:-0.051,accelAlt:0.018,accelVel:-0.058,baroAlt:0.095,deviation:0.077;

23:15:05.660 > >alt:0.025,vel:-0.044,accelAlt:0.021,accelVel:-0.052,baroAlt:0.095,deviation:0.074;

23:15:05.668 > >alt:0.032,vel:-0.030,accelAlt:0.025,accelVel:-0.045,baroAlt:0.174,deviation:0.150;

23:15:05.670 > >alt:0.039,vel:-0.017,accelAlt:0.032,accelVel:-0.031,baroAlt:0.174,deviation:0.142;

23:15:05.679 > >alt:0.046,vel:-0.004,accelAlt:0.039,accelVel:-0.018,baroAlt:0.174,deviation:0.135;

